customer_id,membership_class_trial,result
997579682270,Silver,Unsatisfactory
997458045673,Silver,Unsatisfactory
996882350315,Silver,Unsatisfactory
996783659998,Silver,Unsatisfactory
996331197257,Silver,Unsatisfactory
453348651061,Silver,Unsatisfactory
443694838004,Silver,Unsatisfactory
422406904844,Silver,Unsatisfactory
388354386960,Silver,Unsatisfactory
354858182421,Silver,Unsatisfactory
333463365623,Silver,Unsatisfactory
330033487537,Silver,Unsatisfactory
316389396413,Silver,Unsatisfactory
995651203784,Gold,Unsatisfactory
994715418141,Gold,Unsatisfactory
994601445444,Gold,Unsatisfactory
68438102414,Gold,Unsatisfactory
66755313291,Gold,Unsatisfactory
62327663750,Gold,Unsatisfactory
526018744833,Bronze,Unsatisfactory
510206310658,Bronze,Unsatisfactory
501434800750,Bronze,Unsatisfactory
61959895707,Bronze,Unsatisfactory
60238042632,Bronze,Unsatisfactory
53000909048,Bronze,Unsatisfactory
48231681497,Bronze,Unsatisfactory
42627879996,Silver,Satisfactory
40872167631,Silver,Satisfactory
39608605839,Silver,Satisfactory
33786929393,Silver,Satisfactory
28016484304,Silver,Satisfactory
20418199939,Silver,Satisfactory
17000219843,Silver,Satisfactory
12212698277,Silver,Satisfactory
250438608075,Gold,Satisfactory
233282325694,Gold,Satisfactory
183374957989,Gold,Satisfactory
157930423076,Gold,Satisfactory
142055764651,Gold,Satisfactory
110566911280,Gold,Satisfactory
34690265009,Gold,Satisfactory
24788916865,Gold,Satisfactory
18533209319,Gold,Satisfactory
999502591489,Bronze,Satisfactory
999424609156,Bronze,Satisfactory
999321881178,Bronze,Satisfactory
998466632833,Bronze,Satisfactory
998260872973,Bronze,Satisfactory
998224796196,Bronze,Satisfactory
997879736285,Bronze,Satisfactory
